cite_key,family,pattern,section,target,confidence,score,runner_up,runner_up_score,evidence_source,evidence_snippet,all_scores,has_pdf_text,has_abstract
Fu2022,PCE / RSM,P5,opf,Probability distributions / chance-constraint terms,high,33,Physical states or constraints,21,abstract/keywords,"application to the stochastic planning of distribution networks. the proposed sml includes linear regression, probability distribution, markov chain, isoprobabilistic transformation, maximum likelihood estimator, stochastic response surface and center point method. based on the above",Exogenous inputs=0; Objective values=0; Physical states or constraints=21; Probability distributions / chance-constraint terms=33; Decisions / solution-related objects=0,no,yes
Muhlpfordt20194806,PCE / RSM,P1,opf,Probability distributions / chance-constraint terms,high,66,Physical states or constraints,41,title,chance-constrained ac optimal power flow: a polynomial chaos approach,Exogenous inputs=0; Objective values=0; Physical states or constraints=41; Probability distributions / chance-constraint terms=66; Decisions / solution-related objects=0,no,yes
Su2022315,Neural network,P1,opf,Physical states or constraints,high,21,Exogenous inputs,0,abstract/keywords,the widely used transient stability-constrained optimal power flow (tsc-opf) method for power system preventive control is very time-consuming and thus not applicable for large-scale systems. this article proposes a,Exogenous inputs=0; Objective values=0; Physical states or constraints=21; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Deng2020831,GP / kriging,P1,opf,Physical states or constraints,high,41,Exogenous inputs,0,abstract/keywords,"this paper proposes a kriging assisted strategy to expedite evolutionary computation for solving optimal power flow (opf) problems. first, two algorithms were developed-a kriging assisted genetic algorithm (kaga) and a kriging assisted particle swarm optimization (",Exogenous inputs=0; Objective values=0; Physical states or constraints=41; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Urgun20202791,RBF / kernel,P1,opf,Physical states or constraints,high,21,Exogenous inputs,0,abstract/keywords,"h allows more rational and equitable distribution of resources. mlrbf classification does not require optimal power flow (opf) analysis; however, opf is required for the training and cross-entropy optimization phases. this article shows that the scope and computational",Exogenous inputs=0; Objective values=0; Physical states or constraints=21; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Srithapon202134395,Neural network,P2,opf,Physical states or constraints,high,41,Probability distributions / chance-constraint terms,18,abstract/keywords,"areas. optimal allocation of battery energy storage systems for distribution networks based on probabilistic power flow (ppf) is an effective solution to deal with these uncertainties. however, the high computational burden is the main obstacle of this method. therefor",Exogenous inputs=0; Objective values=12; Physical states or constraints=41; Probability distributions / chance-constraint terms=18; Decisions / solution-related objects=0,no,yes
Liu20223726,RBF / kernel,P1,opf,Physical states or constraints,high,53,Exogenous inputs,0,abstract/keywords,this paper proposes a data-driven small-signal stability constrained optimal power flow (sssc-opf) method with high computational efficiency. instead of repeating the computational expense small-signal stability analysis via differential,Exogenous inputs=0; Objective values=0; Physical states or constraints=53; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Wu2021__2,RBF / kernel,P1,opf,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Chen2023657,Constraint-aware NN,P1,opf,Probability distributions / chance-constraint terms,high,49,Physical states or constraints,41,abstract/keywords,. acoustic generators; distributed power generation; electric load flow; forecasting; chance constraint; deep quantile regression; distributed renewable generation; index; joint chance constraint; load flow; optimal power flows; quantile regression; renewable generation; uncerta,Exogenous inputs=0; Objective values=0; Physical states or constraints=41; Probability distributions / chance-constraint terms=49; Decisions / solution-related objects=0,no,yes
Koirala20242284,PCE / RSM,P1,opf,Probability distributions / chance-constraint terms,high,72,Physical states or constraints,21,title,chance-constrained optimization based pv hosting capacity calculation using general polynomial chaos,Exogenous inputs=12; Objective values=0; Physical states or constraints=21; Probability distributions / chance-constraint terms=72; Decisions / solution-related objects=0,no,yes
Li2023__2,Tree ensembles,P1,opf,Decisions / solution-related objects,high,49,Physical states or constraints,21,title,learning to optimize distributed optimization: admm-based dc-opf case study,Exogenous inputs=0; Objective values=0; Physical states or constraints=21; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=49,no,yes
Muhlpfordt20174490,PCE / RSM,P1,opf,,unassigned,41,Probability distributions / chance-constraint terms,41,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=41; Probability distributions / chance-constraint terms=41; Decisions / solution-related objects=0,no,yes
Xu20212696,PCE / RSM,P1,opf,Physical states or constraints,high,35,Probability distributions / chance-constraint terms,28,title,an iterative response-surface-based approach for chance-constrained ac optimal power flow considering dependent uncertainty,Exogenous inputs=0; Objective values=0; Physical states or constraints=35; Probability distributions / chance-constraint terms=28; Decisions / solution-related objects=0,no,yes
Mahapatra20161921,RBF / kernel,P1,opf,Physical states or constraints,high,21,Exogenous inputs,0,abstract/keywords,"improved gravitational search algorithm is used to first set the optimal location of tcsc to generate optimal power flow solution under normal and contingency condition while firefly algorithm is utilised to improve voltage stability and tcsc cost sizing, respectively.",Exogenous inputs=0; Objective values=0; Physical states or constraints=21; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Mahapatra2022721,RBF / kernel,P1,opf,Physical states or constraints,high,41,Exogenous inputs,0,abstract/keywords,this paper works on the solution to voltage constrained optimal power flow (vcopf) problem with the requisite allocation of thyristor-controlled series compensator (tcsc) in ieee 6-bus and 14-bus transmission network to cut,Exogenous inputs=0; Objective values=0; Physical states or constraints=41; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Li202359995,Neural network,P1,opf,Decisions / solution-related objects,high,49,Physical states or constraints,15,title,learning to solve optimization problems with hard linear constraints,Exogenous inputs=0; Objective values=0; Physical states or constraints=15; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=49,no,yes
Zhang2024821,GP / kriging,P5,opf,Probability distributions / chance-constraint terms,high,34,Physical states or constraints,18,abstract/keywords,this paper proposes a tractable distributionally robust chance-constrained conservation voltage reduction (drcc-cvr) method with enriched data-based ambiguity set in unbalanced three-phase distribution systems. the increasin,Exogenous inputs=0; Objective values=0; Physical states or constraints=18; Probability distributions / chance-constraint terms=34; Decisions / solution-related objects=0,no,yes
Van Acker2022,PCE / RSM,P1,opf,Probability distributions / chance-constraint terms,high,53,Physical states or constraints,41,abstract/keywords,uilding block for many applications in network operations and planning. this paper discusses the treatment of general polynomial chaos expansion for the current–voltage formulation of the optimal power flow problem. the power flow equations of the current–voltage formulation are line,Exogenous inputs=0; Objective values=0; Physical states or constraints=41; Probability distributions / chance-constraint terms=53; Decisions / solution-related objects=0,no,yes
Engelmann20186188,PCE / RSM,P5,opf,,unassigned,35,Probability distributions / chance-constraint terms,35,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=35; Probability distributions / chance-constraint terms=35; Decisions / solution-related objects=0,no,yes
Mitrovic2023__2,GP / kriging,P1,opf,Probability distributions / chance-constraint terms,high,34,Physical states or constraints,21,abstract/keywords,the alternating current (ac) chance-constrained optimal power flow (cc-opf) problem addresses the economic efficiency of electricity generation and delivery under generation uncertainty. the latter,Exogenous inputs=12; Objective values=0; Physical states or constraints=21; Probability distributions / chance-constraint terms=34; Decisions / solution-related objects=0,no,yes
Mitrovic2023__3,GP / kriging,P1,opf,Physical states or constraints,high,35,Probability distributions / chance-constraint terms,28,title,gp cc-opf: gaussian process based optimization tool for chance-constrained optimal power flow[formula presented],Exogenous inputs=0; Objective values=0; Physical states or constraints=35; Probability distributions / chance-constraint terms=28; Decisions / solution-related objects=0,no,yes
Lei20247417,Constraint-aware NN,P1,opf,Physical states or constraints,high,41,Probability distributions / chance-constraint terms,28,abstract/keywords,"in chance-constrained dc optimal power flow (cc-dcopf) with affine control policy, the distribution of uncertainty variables is a function of the decision variable. existing methods fail to tra",Exogenous inputs=0; Objective values=0; Physical states or constraints=41; Probability distributions / chance-constraint terms=28; Decisions / solution-related objects=0,no,yes
Liu20222679,GP / kriging,P5,opf,,unassigned,41,Probability distributions / chance-constraint terms,38,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=41; Probability distributions / chance-constraint terms=38; Decisions / solution-related objects=0,no,yes
Katkar2025,GP / kriging,P1,opf,Physical states or constraints,high,35,Exogenous inputs,0,title,ensemble surrogate archive-assisted artificial bee colony-nsga-ii metaheuristics for multi-modal optimal power flow framework,Exogenous inputs=0; Objective values=0; Physical states or constraints=35; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Park2019,Neural network,P2,expansion,Physical states or constraints,high,24,Exogenous inputs,0,title,physics-induced graph neural network: an application to wind-farm power estimation,Exogenous inputs=0; Objective values=0; Physical states or constraints=24; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Rodgers2018951,PCE / RSM,P2,expansion,Objective values,high,27,Exogenous inputs,0,abstract/keywords,"he electricity sector. using this as a surrogate function for health damages, these costs are included in the objective function of a generation expansion planning model, in addition to market costs and the social damages of carbon emissions and methane leakage to minimize soci",Exogenous inputs=0; Objective values=27; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Kim2021,GP / kriging,P5,expansion,,unassigned,18,Probability distributions / chance-constraint terms,15,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=18; Probability distributions / chance-constraint terms=15; Decisions / solution-related objects=0,no,yes
Pérez-Uresti2023,Neural network,P1,expansion,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Lawson201647,GP / kriging,P5,expansion,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Jahangiri20244849,Neural network,P2,expansion,Objective values,high,15,Exogenous inputs,0,abstract/keywords,"panding interprovincial transmission. surrogate modeling is applied as sensitivities to generation technology capital costs, electricity demand, and carbon pricing to results from an existing capacity expansion mixed-integer linear optimization model. under almost all futu",Exogenous inputs=0; Objective values=15; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Jahangiri2023,Neural network,P2,expansion,,unassigned,12,Exogenous inputs,0,,,Exogenous inputs=0; Objective values=12; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Volodina2022,GP / kriging,P5,expansion,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
Yang2025,Tree ensembles,P2,expansion,,unassigned,0,Objective values,0,,,Exogenous inputs=0; Objective values=0; Physical states or constraints=0; Probability distributions / chance-constraint terms=0; Decisions / solution-related objects=0,no,yes
