cite_key,year,title,primary_bucket,has_pdf,extracted_pages,has_abstract,family,target,trust,data_source,doe_strategy,pattern,validation,workflow_context,complete_alluvial,complete_model_target_trust,complete_doe_pair
Amoedo2023929,2023,A genetic algorithm-active learning approach in energy systems optimization,B05_tree_ensembles,no,0,yes,Tree ensembles,,Predictive-error based,,Active learning,P2 acceleration,Point metrics,Not explicitly identified,yes,no,no
Zhang2025__6,2025,MLMC-based Resource Adequacy Assessment with Active Learning Trained Surrogate Models,B02_gp_kriging,yes,5,yes,Tree ensembles,,,Synthetic data,Active learning,P5 uncertainty,Problem UQ,Simulation-driven workflow,yes,no,yes
Wu2024391,2024,Synergistic Integration of Machine Learning and Mathematical Optimization for Unit Commitment,B05_tree_ensembles,yes,11,yes,Neural network,,,Historical data,,,Feasibility,Historical-data-driven workflow,no,no,no
Taghizadeh2024,2024,Multi-fidelity graph neural networks for efficient power flow analysis under high-dimensional demand and renewable generation uncertainty,B06_neural_surrogates,yes,9,yes,Neural network,Physical states or constraints,Predictive-error based,Synthetic data,Multi-fidelity training; Transfer learning,P1 replacement,Point metrics; Problem UQ,Simulation-driven workflow,yes,yes,yes
Khayambashi202453,2024,HYBRID CHANCE-CONSTRAINED OPTIMAL POWER FLOW UNDER LOAD AND RENEWABLE GENERATION UNCERTAINTY USING ENHANCED MULTI-FIDELITY GRAPH NEURAL NETWORKS,B06_neural_surrogates,no,0,yes,,Probability distributions / chance-constraint terms,,,Multi-fidelity training,P5 uncertainty,,Not explicitly identified,no,no,no
Chen2025244,2025,Multi-fidelity machine learning with knowledge transfer enhances geothermal energy system design and optimization,B11_multi_fidelity,yes,16,yes,RBF / kernel,Objective values,Posterior uncertainty,Historical data,Active learning; Multi-fidelity training,P2 acceleration,,Historical-data-driven workflow,no,yes,yes
Morakinyo201973,2019,Estimates of the impact of extreme heat events on cooling energy demand in Hong Kong,B02_gp_kriging,no,0,yes,GP / kriging,,,,Multi-fidelity training,,,Not explicitly identified,no,no,no
Valladares2022,2022,Gaussian process-based prognostics of lithium-ion batteries and design optimization of cathode active materials,B02_gp_kriging,yes,14,yes,GP / kriging,,Predictive-error based,,Active learning; Multi-fidelity training,P2 acceleration,Point metrics,Not explicitly identified,yes,no,no
Chen202514792,2025,A Scalable Recurrent Structure with Fast Transfer Learning for Lithium-Ion Battery State of Charge Estimation at Different Ambient Temperatures,B02_gp_kriging,yes,12,yes,GP / kriging,,Predictive-error based,Historical data,Transfer learning,P5 uncertainty,Point metrics; Problem UQ,Historical-data-driven workflow,yes,no,yes
De Castro20247710,2024,Multi-Fidelity Reinforcement Learning for Minimum Energy Trajectory Planning,B02_gp_kriging,yes,8,yes,GP / kriging,,Predictive-error based,Synthetic data,Multi-fidelity training,P1 replacement,Point metrics,Simulation-driven workflow,yes,no,yes
Hu2024,2024,Probabilistic net load forecasting based on transformer network and Gaussian process-enabled residual modeling learning method,B02_gp_kriging,yes,13,yes,GP / kriging,Exogenous inputs,Predictive-error based,Historical data,,P5 uncertainty,Interval calibration; Point metrics; Problem UQ,Historical-data-driven workflow,yes,yes,no
Bayani20231024,2023,Quantifying the Risk of Wildfire Ignition by Power Lines Under Extreme Weather Conditions,B15_uncertainty,yes,11,yes,RBF / kernel,,,Historical data,,,,Historical-data-driven workflow,no,no,no
Subedi2026157,2026,Dynamic Validation of CNN-Based Surrogate Models for Inverter-Based Resources in Open-Source Solvers,B06_neural_surrogates,yes,10,yes,Neural network,,Predictive-error based,Historical data,Transfer learning,P1 replacement,Point metrics,Historical-data-driven workflow,yes,no,yes
Khalid20241959,2024,A novel computational paradigm for scheduling of hybrid energy networks considering renewable uncertainty limitations,B04_rbf_kernel,yes,17,yes,RBF / kernel,,,,,,,Not explicitly identified,no,no,no
Liu20242534,2024,More Efficient Energy Management for Hybrid AC/DC Microgrids with Hard Constrained Neural Network-Based Conversion Loss Surrogate Models,B06_neural_surrogates,yes,19,yes,Neural network,Physical states or constraints,Predictive-error based,,,P4 decomposition,Point metrics,Not explicitly identified,no,yes,no
Chakrabarty2021,2021,Scalable Bayesian optimization for model calibration: Case study on coupled building and HVAC dynamics,B02_gp_kriging,yes,13,yes,GP / kriging,,Posterior uncertainty,Historical data,Active learning,P2 acceleration,Decision-aware,Historical-data-driven workflow,yes,no,yes
Aghaei Pour2022303,2022,Surrogate assisted interactive multiobjective optimization in energy system design of buildings,B12_bayes_accel,yes,23,yes,GP / kriging,Objective values,,Synthetic data,Latin hypercube sampling,P2 acceleration,Decision-aware,Simulation-driven workflow,yes,no,yes
Palm2022,2022,Gaussian Process Regression Based Multi-Objective Bayesian Optimization for Power System Design,B02_gp_kriging,yes,21,yes,GP / kriging,,,Synthetic data,Active learning; Factorial / response-surface design; Latin hypercube sampling,P2 acceleration,Problem UQ,Simulation-driven workflow,yes,no,yes
Kaewdornhan2022130373,2022,Electric Distribution Network with Multi-Microgrids Management Using Surrogate-Assisted Deep Reinforcement Learning Optimization,B06_neural_surrogates,yes,24,yes,Neural network,Physical states or constraints; Probability distributions / chance-constraint terms,,,Latin hypercube sampling,P5 uncertainty,Feasibility,Not explicitly identified,yes,no,no
Ma2022737,2022,Two-Level Surrogate-Assisted Transient Parameters Design Optimization of a Wound-Field Synchronous Machine,B12_bayes_accel,no,0,yes,,,,Synthetic data,Latin hypercube sampling,,,Simulation-driven workflow,no,no,yes
Baheri2017131,2017,Real-time control using Bayesian optimization: A case study in airborne wind energy systems,B02_gp_kriging,yes,9,yes,GP / kriging,Objective values; Probability distributions / chance-constraint terms,Posterior uncertainty,Historical data,Active learning,P2 acceleration,Decision-aware,Historical-data-driven workflow,yes,yes,yes
Baheri20171365,2017,Altitude optimization of Airborne Wind Energy systems: A Bayesian Optimization approach,B02_gp_kriging,yes,5,yes,GP / kriging,Objective values; Probability distributions / chance-constraint terms,Posterior uncertainty,Historical data,Active learning,P2 acceleration,Problem UQ,Historical-data-driven workflow,yes,yes,yes
Ceylan2020944,2020,Assessment of agricultural energy consumption of Turkey by MLR and Bayesian optimized SVR and GPR models,B02_gp_kriging,no,0,yes,GP / kriging,,Predictive-error based,Historical data,Active learning,P2 acceleration,Point metrics,Historical-data-driven workflow,yes,no,yes
Zang2023813,2023,Multiobjective Optimization and Multiphysics Design of a 5 MW High-Speed IPMSM Used in FESS Based on NSGA-II,B03_pce_response_surface,yes,11,yes,,,Predictive-error based,Synthetic data,Factorial / response-surface design,,Point metrics,Simulation-driven workflow,no,no,yes
Reis2025,2025,Symmetry-Guided Surrogate-Assisted NSGA-II for Multi-Objective Optimization of Renewable Energy Systems,B12_bayes_accel,yes,16,yes,GP / kriging,Objective values,Predictive-error based,,Adaptive sampling,P2 acceleration,Decision-aware; Point metrics,Not explicitly identified,yes,yes,no
Katkar2025,2025,Ensemble Surrogate Archive-Assisted Artificial Bee Colony-NSGA-II Metaheuristics for Multi-Modal Optimal Power Flow Framework,B02_gp_kriging,yes,6,yes,GP / kriging,Physical states or constraints,,,Active learning,P2 acceleration,,Not explicitly identified,no,no,no
Guan2025,2025,Optimization of energy management strategy for a novel electric-hydraulic vehicle based on NSGA-III genetic algorithm,B04_rbf_kernel,no,0,yes,RBF / kernel,,,,,,,Not explicitly identified,no,no,no
Li2023__2,2023,Learning to Optimize Distributed Optimization: ADMM-based DC-OPF Case Study,B05_tree_ensembles,yes,5,yes,Neural network,Decisions / solution-related objects; Physical states or constraints,Decision-oriented,,,P3 solution proxy,,Not explicitly identified,no,yes,no
Li2023__3,2023,Physics-model-free heat-electricity energy management of multiple microgrids based on surrogate model-enabled multi-agent deep reinforcement learning,B05_tree_ensembles,yes,14,yes,GP / kriging,Exogenous inputs; Physical states or constraints,,Historical data,,P4 decomposition,Problem UQ,Historical-data-driven workflow,yes,no,no
Shao201858,2018,Kriging Empirical Mode Decomposition via support vector machine learning technique for autonomous operation diagnosing of CHP in microgrid,B02_gp_kriging,yes,11,yes,GP / kriging,Exogenous inputs; Objective values,,,,,,Not explicitly identified,no,no,no
Amjady2017,2017,"Short term wind power prediction based on improved kriging interpolation, Empirical Mode Decomposition, and closed-loop forecasting engine",B02_gp_kriging,yes,15,yes,GP / kriging,Exogenous inputs,Predictive-error based,Historical data,,,Point metrics,Historical-data-driven workflow,no,yes,no
Ghosh2023,2023,Decomposition-Transformation Assisted Optimized Heterogeneous Classification Strategy in NILM,B05_tree_ensembles,yes,9,yes,Tree ensembles,,,,Active learning,P2 acceleration,,Not explicitly identified,no,no,no
Zhang2025__4,2025,An Accelerated Approach to Time-Sequential Production Simulation for Integrated Generation-Grid-Storage Systems Combining Benders Decomposition and Data-Driven Methods,B02_gp_kriging,yes,6,yes,GP / kriging,Decisions / solution-related objects; Physical states or constraints,,,,P4 decomposition,Problem UQ,Not explicitly identified,no,no,no
Shi2024__2,2024,Load forecasting for regional integrated energy system based on complementary ensemble empirical mode decomposition and multi-model fusion,B02_gp_kriging,yes,31,yes,Neural network; RBF / kernel,Exogenous inputs,Predictive-error based,Historical data,,,Point metrics,Historical-data-driven workflow,no,yes,no
abbas_optimal_2024,2024,Optimal scheduling and management of grid-connected distributed resources using improved decomposition-based many-objective evolutionary algorithm,B14_decomposition,yes,22,yes,,,,,,,Feasibility,Not explicitly identified,no,no,no
Gruosso2020618,2020,Joined Probabilistic Load Flow and Sensitivity Analysis of Distribution Networks Based on Polynomial Chaos Method,B03_pce_response_surface,yes,8,yes,,Physical states or constraints; Probability distributions / chance-constraint terms,Predictive-error based,,Quasi-Monte Carlo / sparse-grid collocation,,Point metrics; Problem UQ,Not explicitly identified,no,no,no
Sun20191497,2019,A two-step short-term probabilistic wind forecasting methodology based on predictive distribution optimization,B04_rbf_kernel,yes,8,yes,RBF / kernel,Exogenous inputs,Posterior uncertainty; Predictive-error based,Historical data,,,Point metrics,Historical-data-driven workflow,no,yes,no
Buchanan2024,2024,Probabilistic lithium-ion battery state-of-health prediction using convolutional neural networks and Gaussian process regression,B02_gp_kriging,yes,12,yes,GP / kriging,Exogenous inputs; Probability distributions / chance-constraint terms,Predictive-error based,,Transfer learning,P5 uncertainty,Point metrics; Problem UQ,Not explicitly identified,yes,yes,no
Abedinia20161511,2016,Short-term load forecast of electrical power system by radial basis function neural network and new stochastic search algorithm,B04_rbf_kernel,no,0,yes,RBF / kernel,Exogenous inputs,,,,,,Not explicitly identified,no,no,no
Zhu2022,2022,Uncertainty and sensitivity analysis of cooling and heating loads for building energy planning,B02_gp_kriging,yes,16,yes,GP / kriging,,,,Latin hypercube sampling,P5 uncertainty,Problem UQ,Not explicitly identified,yes,no,no
Azevedo2021630,2021,Influence of model calibration and optimization techniques on the evaluation of thermal comfort and retrofit measures of a Lisbon household using building energy simulation,B16_validation,no,0,yes,,,,,,,,Not explicitly identified,no,no,no
Khazeiynasab2021,2021,PMU Measurement Based Generator Parameter Calibration by Black-Box Optimization with A Stochastic Radial Basis Function Surrogate Model,B03_pce_response_surface,yes,5,yes,RBF / kernel,Objective values,,,,,,Not explicitly identified,no,no,no
Zhang2025__7,2025,Parameter optimization calibration of low-pressure fuel cell energy system based on adaptive response surface algorithm,B02_gp_kriging,yes,9,yes,PCE / RSM,,,Synthetic data,Factorial / response-surface design; Latin hypercube sampling,,,Simulation-driven workflow,no,no,yes
Ullah20255970,2025,Optimized Neuro-Adaptive Third-Order Sliding Mode Control With High-Gain Differentiator for Enhanced Photovoltaic System Performance: Simulation and Experimental Validation,B04_rbf_kernel,yes,20,yes,RBF / kernel,,Predictive-error based,,,,Point metrics,Not explicitly identified,no,no,no
Liang2024__2,2024,Expert knowledge data-driven based actor–critic reinforcement learning framework to solve computationally expensive unit commitment problems with uncertain wind energy,B17_ed_uc,yes,14,yes,Neural network; Tree ensembles,Decisions / solution-related objects; Objective values,,Historical data,,P5 uncertainty,Feasibility,Historical-data-driven workflow,yes,no,no
Huotari2020,2020,Hybrid ship unit commitment with demand prediction and model predictive control,B02_gp_kriging,no,0,yes,,,,Historical data,,,,Historical-data-driven workflow,no,no,no
Wang2022812,2022,A Data-Driven Uncertainty Quantification Method for Stochastic Economic Dispatch,B03_pce_response_surface,yes,4,yes,PCE / RSM,Probability distributions / chance-constraint terms,,,,P5 uncertainty,Problem UQ,Not explicitly identified,no,no,no
Pan20244422,2024,Reliability-Constrained Economic Dispatch With Analytical Formulation of Operational Risk Evaluation,B03_pce_response_surface,yes,15,yes,PCE / RSM,Probability distributions / chance-constraint terms,,,,P4 decomposition,,Not explicitly identified,no,no,no
Li20191438,2019,Compressive Sensing Based Stochastic Economic Dispatch with High Penetration Renewables,B03_pce_response_surface,yes,12,yes,PCE / RSM,Physical states or constraints,Predictive-error based,,Quasi-Monte Carlo / sparse-grid collocation,P5 uncertainty,Feasibility; Point metrics,Not explicitly identified,yes,yes,no
Yan2019625,2019,Analytical Iterative Multistep Interval Forecasts of Wind Generation Based on TLGP,B02_gp_kriging,yes,11,yes,GP / kriging,Exogenous inputs,Predictive-error based,Historical data,,,Interval calibration; Point metrics; Problem UQ,Historical-data-driven workflow,no,yes,no
Angizeh2023134995,2023,Impact Assessment Framework for Grid Integration of Energy Storage Systems and Renewable Energy Sources Toward Clean Energy Transition,B02_gp_kriging,yes,9,yes,GP / kriging,Exogenous inputs; Probability distributions / chance-constraint terms,,,,,,Not explicitly identified,no,no,no
Kanwal2018117,2018,Support vector machine and Gaussian process regression based modeling for photovoltaic power prediction,B02_gp_kriging,yes,4,yes,GP / kriging,,Predictive-error based,,,,Point metrics,Not explicitly identified,no,no,no
Oyedeji2023,2023,Computational Models for Forecasting Electric Vehicle Energy Demand,B02_gp_kriging,no,0,yes,GP / kriging,,Predictive-error based,,Active learning,P2 acceleration,Point metrics,Not explicitly identified,yes,no,no
Mahapatra2022721,2022,Constrained optimal power flow and optimal TCSC allocation using hybrid cuckoo search and ant lion optimizer,B04_rbf_kernel,yes,12,yes,RBF / kernel,Physical states or constraints,,,,,,Not explicitly identified,no,no,no
Mahapatra20161921,2016,Hybrid technique for optimal location and cost sizing of thyristor controlled series compensator to upgrade voltage stability,B04_rbf_kernel,yes,7,yes,RBF / kernel,Physical states or constraints,Predictive-error based,,,,Point metrics,Not explicitly identified,no,yes,no
De Keyser20179702,2017,Convex mapping formulations enabling optimal power split and design of the electric drivetrain in all-electric vehicles,B18_opf,no,0,yes,,,,,,,,Not explicitly identified,no,no,no
Mitrovic2023__2,2023,Fast Data-Driven Chance Constrained AC-OPF Using Hybrid Sparse Gaussian Processes,B02_gp_kriging,yes,6,yes,GP / kriging,Objective values; Physical states or constraints; Probability distributions / chance-constraint terms,Predictive-error based,Historical data; Synthetic data,,P5 uncertainty,Feasibility; Point metrics; Problem UQ,Hybrid model-coupled workflow,yes,yes,no
Mitrovic2023__3,2023,GP CC-OPF: Gaussian Process based optimization tool for Chance-Constrained Optimal Power Flow[Formula presented],B02_gp_kriging,yes,3,yes,GP / kriging,Physical states or constraints; Probability distributions / chance-constraint terms,,Synthetic data,,P5 uncertainty,,Simulation-driven workflow,no,no,no
Lei20247417,2024,Surrogate Formulation for Chance-Constrained DC Optimal Power Flow With Affine Control Policy,B07_constraint_aware,yes,4,yes,GP / kriging,Physical states or constraints; Probability distributions / chance-constraint terms,,Historical data,,P5 uncertainty,Feasibility,Historical-data-driven workflow,yes,no,no
Wu2021__2,2021,Hybrid Improved Bird Swarm Algorithm with Extreme Learning Machine for Short-Term Power Prediction in Photovoltaic Power Generation System,B04_rbf_kernel,yes,9,yes,GP / kriging,,Predictive-error based,,,,Point metrics,Not explicitly identified,no,no,no
Zhou2022__2,2022,Bi-level framework for microgrid capacity planning under dynamic wireless charging of electric vehicles,B19_capacity_expansion,no,0,yes,RBF / kernel,Objective values,,,,P1 replacement,,Not explicitly identified,no,no,no
Kim2021,2021,Probabilistic modeling of wind energy potential for power grid expansion planning,B02_gp_kriging,yes,11,yes,GP / kriging,Exogenous inputs; Probability distributions / chance-constraint terms,Predictive-error based,Historical data,,,Point metrics; Problem UQ,Historical-data-driven workflow,no,yes,no
Pérez-Uresti2023,2023,Strategic investment planning for the hydrogen economy – A mixed integer non-linear framework for the development and capacity expansion of hydrogen supply chain networks,B19_capacity_expansion,yes,15,yes,,,,,,,,Not explicitly identified,no,no,no
Shi2026,2026,Wind-Solar-Storage Transmission Expansion Planning With Reinforcement Learning Framework Based on Gaussian Process Regression,B02_gp_kriging,no,0,yes,GP / kriging,Objective values,,,,,,Not explicitly identified,no,no,no
Yang2025,2025,Adaptive multi-objective Bayesian optimization approach for capacity planning of the interconnected offshore wind farms,B05_tree_ensembles,yes,13,yes,GP / kriging,,,Historical data,Active learning,P2 acceleration,Decision-aware,Historical-data-driven workflow,yes,no,yes
Simonson202036,2020,Probabilistic Modeling of Thermal Grids using Gaussian Processes,B02_gp_kriging,no,0,yes,GP / kriging,,,,Active learning,P2 acceleration,,Not explicitly identified,no,no,no
Weinberger2018555,2018,Investigating influential techno-economic factors for combined heat and power production using optimization and metamodeling,B20_district_heating,yes,15,yes,,,,,,,,Not explicitly identified,no,no,no
Roy2023,2023,Multi-objective optimization of biomass gasification based combined heat and power system employing molten carbonate fuel cell and externally fired gas turbine,B03_pce_response_surface,no,0,yes,PCE / RSM,,,,Factorial / response-surface design,,,Not explicitly identified,no,no,no
Ahlström2022596,2022,The role of biomass gasification in the future flexible power system – BECCS or CCU?,B21_mes_sector_coupling,no,0,yes,,,,,,,,Not explicitly identified,no,no,no
Qi2023,2023,Strategies for flexible operation of power-to-X processes coupled with renewables,B21_mes_sector_coupling,no,0,yes,,,,,,P2 acceleration,,Not explicitly identified,no,no,no
Walden2023,2023,"Nonlinear operational optimization of an industrial power-to-heat system with a high temperature heat pump, a thermal energy storage and wind energy",B21_mes_sector_coupling,no,0,yes,,,,,,,,Not explicitly identified,no,no,no
Rixhon2021,2021,The role of electrofuels under uncertainties for the belgian energy transition,B03_pce_response_surface,yes,19,yes,PCE / RSM,Objective values; Probability distributions / chance-constraint terms,,,,P5 uncertainty,,Not explicitly identified,no,no,no
Assareh2023,2023,"Performance analysis of solar-assisted-geothermal combined cooling, heating, and power (CCHP) systems incorporated with a hydrogen generation subsystem",B03_pce_response_surface,no,0,yes,,,,,Factorial / response-surface design,,,Not explicitly identified,no,no,no
Zhang2022__2,2022,Development and comparative selection of surrogate models using artificial neural network for an integrated regenerative transcritical cycle,B06_neural_surrogates,no,0,yes,Neural network,,,,,,,Not explicitly identified,no,no,no
Xu20184696,2018,Maximum Loadability of Islanded Microgrids With Renewable Energy Generation,B03_pce_response_surface,yes,9,yes,PCE / RSM,Probability distributions / chance-constraint terms,,,Quasi-Monte Carlo / sparse-grid collocation,P5 uncertainty,,Not explicitly identified,no,no,no
Gan2021695,2021,Data-Driven Energy Management System with Gaussian Process Forecasting and MPC for Interconnected Microgrids,B02_gp_kriging,yes,8,yes,GP / kriging,,Predictive-error based,Historical data,,,Point metrics,Historical-data-driven workflow,no,no,no
Chaturvedi2024149,2024,Reinforcement Learning-Based Integrated Control to Improve the Efficiency of DC Microgrids,B06_neural_surrogates,yes,11,yes,Neural network,,,,,,,Not explicitly identified,no,no,no
Prusty2025,2025,An improved moth swarm algorithm based fractional order type-2 fuzzy PID controller for frequency regulation of microgrid system,B02_gp_kriging,no,0,yes,GP / kriging,,,,,,,Not explicitly identified,no,no,no
Kiani20253021,2025,Learning Robust Model Predictive Control for Voltage Control of Islanded Microgrid,B02_gp_kriging,yes,10,yes,GP / kriging,,,,,,Problem UQ,Not explicitly identified,no,no,no
Hussien20226442,2022,Coot Bird Algorithms-Based Tuning PI Controller for Optimal Microgrid Autonomous Operation,B03_pce_response_surface,yes,14,yes,PCE / RSM,,,Synthetic data,Factorial / response-surface design,P2 acceleration,,Simulation-driven workflow,no,no,yes
Cao2023__2,2023,Co-optimization of multiple virtual power plants considering electricity-heat-carbon trading: A Stackelberg game strategy,B22_microgrid_hub,yes,19,yes,GP / kriging,,,,Latin hypercube sampling,P1 replacement,,Not explicitly identified,no,no,no
Liang20222192,2022,Stochastic Optimal Energy Storage Management for Energy Routers Via Compressive Sensing,B03_pce_response_surface,yes,11,yes,PCE / RSM,Probability distributions / chance-constraint terms,,,,,,Not explicitly identified,no,no,no
Zhang20234075,2023,Surrogated-assisted multimodal multi-objective optimization for hybrid renewable energy system,B02_gp_kriging,yes,13,yes,GP / kriging,Objective values,,,,P2 acceleration,,Not explicitly identified,no,no,no
Bian202224179,2022,"Energy, exergy, economy analysis, and multi-objective optimization of a novel integrated energy system by combining artificial neural network and whale optimization algorithm",B06_neural_surrogates,no,0,yes,Neural network,,,,,,,Not explicitly identified,no,no,no
Ata2025,2025,"Comprehensive evaluation of a gas turbine-based multi-generation system for power, heating, cooling, freshwater, hydrogen and ammonia: 4E assessment and multi-objective optimization with RSM desirability approach",B03_pce_response_surface,no,0,yes,PCE / RSM,Objective values,,,Factorial / response-surface design,,,Not explicitly identified,no,no,no
Hussien202415075,2024,Hybrid Transient Search Algorithm With Levy Flight for Optimal PI Controllers of Islanded Microgrids,B03_pce_response_surface,yes,16,yes,PCE / RSM,Objective values,,Synthetic data,Factorial / response-surface design,P2 acceleration,,Simulation-driven workflow,no,no,yes
Liang2024__3,2024,Risk-based distributionally robust optimal dispatch for multiple cascading failures in regional integrated energy system using surrogate modeling,B15_uncertainty,no,0,yes,,Probability distributions / chance-constraint terms,,,,P5 uncertainty,,Not explicitly identified,no,no,no
Hussien202190577,2021,LMSRE-based adaptive pi controller for enhancing the performance of an autonomous operation of microgrids,B03_pce_response_surface,yes,8,yes,PCE / RSM,Objective values,Predictive-error based,Synthetic data,Factorial / response-surface design,P2 acceleration,Point metrics,Simulation-driven workflow,yes,yes,yes
Dong2024,2024,Design and optimal scheduling of forecasting-based campus multi-energy complementary energy system,B21_mes_sector_coupling,yes,13,yes,Neural network,,Predictive-error based,Historical data,,,Point metrics,Historical-data-driven workflow,no,no,no
Salahinezhad2025,2025,Trade-off analysis for optimal design of trigeneration energy systems integrated with solar and hydrogen subsystems: A novel optimization strategy,B03_pce_response_surface,yes,21,yes,PCE / RSM,,Predictive-error based,,Factorial / response-surface design,P1 replacement,Point metrics,Not explicitly identified,yes,no,no
Cao2017,2017,Multi-objective optimization of preplanned microgrid islanding based on stochastic short-term simulation,B03_pce_response_surface,no,0,yes,PCE / RSM,,,Synthetic data,Factorial / response-surface design,,,Simulation-driven workflow,no,no,yes
Dong2023__2,2023,Robust optimal scheduling for integrated energy systems based on multi-objective confidence gap decision theory,B03_pce_response_surface,yes,16,yes,,Objective values,,,,P5 uncertainty,Problem UQ,Not explicitly identified,no,no,no
Lalitha20231401,2023,Multi-objective approach for protection of microgrids using surrogate assisted particle swarm optimization (SAPSO),B12_bayes_accel,yes,12,yes,GP / kriging,Objective values,,,Active learning,P2 acceleration,,Not explicitly identified,no,no,no
Cuzner2018,2018,Power Conversion and Distribution Equipment Metamodels for Dependable Design of Shipboard Integrated Power and Energy Systems,B21_mes_sector_coupling,no,0,yes,,,,,,,,Not explicitly identified,no,no,no
Perera2017187,2017,Optimum design of distributed energy hubs using hybrid surrogate models (HSM),B21_mes_sector_coupling,yes,16,yes,GP / kriging,Probability distributions / chance-constraint terms,,,,P2 acceleration,Problem UQ,Not explicitly identified,no,no,no
tezer_multi-objective_2025,2025,Multi-objective optimization of hybrid renewable energy systems with green hydrogen integration and hybrid storage strategies,B21_mes_sector_coupling,yes,23,yes,PCE / RSM,,,,,,,Not explicitly identified,no,no,no
tian_building_2025,2025,Building design and operation multi-objective optimization: Energy costs vs. Emissions,B06_neural_surrogates,yes,15,yes,,,Predictive-error based,,Latin hypercube sampling,,Point metrics,Not explicitly identified,no,no,no
chen_multi-objective_2025-1,2025,Multi-objective optimization of multi-energy complementary systems integrated biomass-solar-wind energy utilization in rural areas,B21_mes_sector_coupling,yes,19,yes,,,,,,,,Not explicitly identified,no,no,no
bian_multi-energy_2025,2025,Multi-energy Complementary Planning for Regional Integrated Energy System Considering Flexibility and Economy,B21_mes_sector_coupling,no,0,yes,,,,,,,,Not explicitly identified,no,no,no
cortes-caicedo_multi-objective_2025,2025,A multi-objective optimization approach based on the Non-Dominated Sorting Genetic Algorithm {II} for power coordination in battery energy storage systems for {DC} distribution network applications,B23_moo_design,yes,15,yes,,,,Historical data,,,Decision-aware,Historical-data-driven workflow,no,no,no
alahmad_enhancing_2025,2025,Enhancing renewable energy integration through strategic stochastic optimization planning of distributed energy resources (Wind/{PV}/{SBESS}/{MBESS}) in distribution systems,B23_moo_design,yes,32,yes,,,,Historical data,,,,Historical-data-driven workflow,no,no,no
alahmad_optimizing_2025,2025,Optimizing renewable energy and green technologies in distribution systems through stochastic planning of distributed energy resources,B23_moo_design,yes,32,yes,Neural network,,,Historical data,,,Decision-aware,Historical-data-driven workflow,no,no,no
ali_optimizing_2025,2025,Optimizing Hydrogen Systems and Demand Response for Enhanced Integration of {RES} and {EVs} in Smart Grids,B21_mes_sector_coupling,yes,11,yes,,,,Historical data,,,,Historical-data-driven workflow,no,no,no
an_multi-objective_2025,2025,Multi-objective optimization for optimal placement of shared battery energy storage systems in urban energy communities,B22_microgrid_hub,yes,13,yes,,,,,,,,Not explicitly identified,no,no,no
anoune_microgrid_2025,2025,Microgrid Optimization Using a Developed Model of Genetic Algorithm Under {MATLAB},B22_microgrid_hub,no,0,yes,,,,,,,,Not explicitly identified,no,no,no
bagheri_miqcp-based_2025,2025,An {MIQCP}-based multi-objective optimal operation strategy for renewables-integrated smart distribution systems considering transformer loss of life and environmental emissions,B06_neural_surrogates,yes,10,yes,,,,,,,Problem UQ,Not explicitly identified,no,no,no
bendriss_novel_2025,2025,A novel improved Frilled Lizard algorithm for solving the optimal planning problem of renewable energy sources within distribution grids under uncertainties,B23_moo_design,yes,17,yes,Neural network,,,Historical data,,,Problem UQ,Historical-data-driven workflow,no,no,no
Roy2020,2020,Performance evaluation of a novel biomass-based hybrid energy system employing optimisation and multi-criteria decision-making techniques,B03_pce_response_surface,no,0,yes,PCE / RSM,,Predictive-error based,,Factorial / response-surface design,P2 acceleration,Point metrics,Not explicitly identified,yes,no,no
Han2024,2024,Hierarchical robust Day-Ahead VPP and DSO coordination based on local market to enhance distribution network voltage stability,B02_gp_kriging,yes,14,yes,GP / kriging,,Predictive-error based,Historical data,,,Point metrics; Problem UQ,Historical-data-driven workflow,no,no,no
Zhang2024821,2024,Tractable Data Enriched Distributionally Robust Chance-Constrained Conservation Voltage Reduction,B02_gp_kriging,yes,15,yes,GP / kriging,,,Historical data,,P5 uncertainty,Feasibility,Historical-data-driven workflow,yes,no,no
Zhang20203731,2020,Two-Stage Optimal Operation Strategy of Isolated Microgrid with TSK Fuzzy Identification of Supply Security,B04_rbf_kernel,yes,13,yes,RBF / kernel,,,,Transfer learning,P1 replacement,Feasibility,Not explicitly identified,yes,no,no
Pourmohammadi2023,2023,Robust metamodel-based simulation-optimization approaches for designing hybrid renewable energy systems,B03_pce_response_surface,yes,16,yes,PCE / RSM,,,Historical data,Factorial / response-surface design,P5 uncertainty,Problem UQ,Historical-data-driven workflow,yes,no,yes
Yang2024__2,2024,Data-driven robust optimization scheduling for microgrid day-ahead to intra-day operations based on renewable energy interval prediction,B03_pce_response_surface,yes,18,yes,GP / kriging,Objective values,Predictive-error based,Historical data,,P5 uncertainty,Point metrics; Problem UQ; Stress test,Historical-data-driven workflow,yes,yes,no
Venkatakrishnan2022,2022,Optimally manage the energy between electric vehicle charging stations and electricity distribution system: A hybrid technique,B04_rbf_kernel,no,0,yes,RBF / kernel,,,,,,,Not explicitly identified,no,no,no
Uhrich2026211,2026,A Metamodeling Framework for Accelerated Energy Market Optimization Using Active Learning,B10_doe_active_learning,no,0,yes,,Exogenous inputs,Predictive-error based,,Active learning,,Point metrics,Not explicitly identified,no,no,no
