cite_key,author_label,year,section,tier,has_pdf,system,topic,family,doe,doe_prose,validation,validation_prose,pattern,pdf_claims,cited_by_count
Hu2020,Hu et al.,2020,dispatch,compact,yes,Uncertainty quantification in stochastic economic dispatch using Gaussian process emulation,Electric Power System Optimization,GP / kriging,LHS / quasi-MC,Training inputs are placed by Latin hypercube sampling over the planning box.,Uncertainty (problem UQ),,P5,,7
Fu20202904,Fu et al.,2020,opf,detail,yes,Statistical Machine Learning Model for Stochastic Optimal Planning of Distribution Networks Considering a Dynamic,Energy Load and Power Forecasting,PCE / RSM,LHS / quasi-MC,Training inputs are placed by Latin hypercube sampling over the planning box.,Uncertainty (problem UQ); Point metrics (RMSE/MAE/R²),,P5,,137
Fu2022,Fu et al.,2022,opf,detail,yes,Statistical machine learning model for capacitor planning considering uncertainties in photovoltaic power,Optimal Power Flow Distribution,PCE / RSM,Factorial / DoE,Training runs explore discrete factor combinations for response-surface fitting.,Uncertainty (problem UQ); Feasibility rate,Validation reports feasibility or constraint violations on the host problem.,P5,,133
Muhlpfordt20194806,Muhlpfordt et al.,2019,opf,detail,yes,Chance-Constrained AC Optimal Power Flow: A Polynomial Chaos Approach,Probabilistic and Robust Engineering Design,PCE / RSM,LHS / quasi-MC,Uncertain inputs are represented by sparse-grid or PCE collocation nodes (quasi-Monte Carlo / quadrature family).,Uncertainty (problem UQ); Point metrics (RMSE/MAE/R²),,P1,,76
Su2022315,Su et al.,2022,opf,detail,yes,Deep Belief Network Enabled Surrogate Modeling for Fast Preventive Control of Power System Transient Stability,Power System Optimization and Stability,Neural network,LHS / quasi-MC,Training inputs are placed by Latin hypercube sampling over the planning box.,Point metrics (RMSE/MAE/R²); Uncertainty (problem UQ),,P1,reported runtime reduction;Pareto-front search,65
Deng2020831,Deng et al.,2020,opf,detail,yes,Kriging Assisted Surrogate Evolutionary Computation to Solve Optimal Power Flow Problems,Optimal Power Flow Distribution,GP / kriging,Adaptive sampling,Training points are added sequentially by infill rules during surrogate-assisted search.,Point metrics (RMSE/MAE/R²),,P1,,48
Urgun20202791,Urgun et al.,2020,opf,compact,yes,Importance Sampling Using Multilabel Radial Basis Classification for Composite Power System Reliability Evaluation,Power System Reliability and Maintenance,RBF / kernel,LHS / quasi-MC,Training inputs are placed by Latin hypercube sampling over the planning box.,Point metrics (RMSE/MAE/R²); Uncertainty (problem UQ),,P1,reported runtime reduction,46
Srithapon202134395,Srithapon et al.,2021,opf,compact,yes,Surrogate-Assisted Multi-Objective Probabilistic Optimal Power Flow for Distribution Network with Photovoltaic,Optimal Power Flow Distribution,Neural network,Active learning,,Uncertainty (problem UQ); Point metrics (RMSE/MAE/R²),,P2,reported runtime reduction,44
Liu20223726,Liu et al.,2022,opf,compact,yes,Explicit Data-Driven Small-Signal Stability Constrained Optimal Power Flow,Power System Optimization and Stability,RBF / kernel,LHS / quasi-MC,,Point metrics (RMSE/MAE/R²),,P1,large reported speed-up,40
Wu2021__2,Wu et al.,2021,opf,compact,yes,Hybrid Improved Bird Swarm Algorithm with Extreme Learning Machine for Short-Term Power Prediction in Photovoltaic,Integrated Energy Systems Optimization,RBF / kernel,--,,Point metrics (RMSE/MAE/R²),,P1,reported runtime reduction,38
Chen2023657,Chen et al.,2023,opf,compact,yes,Deep-Quantile-Regression-Based Surrogate Model for Joint Chance-Constrained Optimal Power Flow with Renewable Generation,Optimal Power Flow Distribution,Constraint-aware NN,--,,Uncertainty (problem UQ); Feasibility rate; Interval calibration,Validation reports feasibility or constraint violations on the host problem.,P1,,29
Koirala20242284,Koirala et al.,2024,opf,compact,yes,Chance-Constrained Optimization Based PV Hosting Capacity Calculation Using General Polynomial Chaos,Probabilistic and Robust Engineering Design,PCE / RSM,LHS / quasi-MC,Uncertain inputs are represented by sparse-grid or PCE collocation nodes (quasi-Monte Carlo / quadrature family).,Uncertainty (problem UQ); Point metrics (RMSE/MAE/R²),,P1,reported runtime reduction,28
Li2023__2,Li et al.,2023,opf,compact,yes,Learning to Optimize Distributed Optimization: ADMM-based DC-OPF Case Study,Building Energy and Comfort Optimization,Tree ensembles,Historical data,,Feasibility rate; Point metrics (RMSE/MAE/R²),Validation reports feasibility or constraint violations on the host problem.,P1,,28
Muhlpfordt20174490,Muhlpfordt et al.,2017,opf,compact,yes,Solving optimal power flow with non-Gaussian uncertainties via polynomial chaos expansion,Probabilistic and Robust Engineering Design,PCE / RSM,LHS / quasi-MC,Uncertain inputs are represented by sparse-grid or PCE collocation nodes (quasi-Monte Carlo / quadrature family).,Uncertainty (problem UQ),,P1,,28
Xu20212696,Xu et al.,2021,opf,compact,yes,An Iterative Response-Surface-Based Approach for Chance-Constrained AC Optimal Power Flow Considering Dependent,Probabilistic and Robust Engineering Design,PCE / RSM,LHS / quasi-MC,Uncertain inputs are represented by sparse-grid or PCE collocation nodes (quasi-Monte Carlo / quadrature family).,Uncertainty (problem UQ); Point metrics (RMSE/MAE/R²),Validation reports feasibility or constraint violations on the host problem.,P1,,28
Mahapatra20161921,Mahapatra et al.,2016,opf,compact,yes,Hybrid technique for optimal location and cost sizing of thyristor controlled series compensator to upgrade voltage,Power System Optimization and Stability,RBF / kernel,--,,Point metrics (RMSE/MAE/R²),,P1,,22
Mahapatra2022721,Mahapatra et al.,2022,opf,compact,yes,Constrained optimal power flow and optimal TCSC allocation using hybrid cuckoo search and ant lion optimizer,Power System Optimization and Stability,RBF / kernel,--,,Point metrics (RMSE/MAE/R²),,P1,,22
Li202359995,Li et al.,2023,opf,compact,yes,Learning to Solve Optimization Problems With Hard Linear Constraints,Advanced Neural Network Applications,Neural network,Transfer learning,Emulator training transfers information across related datasets.,Decision-aware (regret/gap); Feasibility rate,Validation reports feasibility or constraint violations on the host problem.,P1,reported runtime reduction,20
Zhang2024821,Zhang et al.,2024,opf,compact,yes,Tractable Data Enriched Distributionally Robust Chance-Constrained Conservation Voltage Reduction,Energy Load and Power Forecasting,GP / kriging,Adaptive sampling,,Uncertainty (problem UQ),,P5,,17
Van Acker2022,Van Acker et al.,2022,opf,compact,yes,General polynomial chaos in the current–voltage formulation of the optimal power flow problem,Probabilistic and Robust Engineering Design,PCE / RSM,LHS / quasi-MC,Uncertain inputs are represented by sparse-grid or PCE collocation nodes (quasi-Monte Carlo / quadrature family).,Feasibility rate; Point metrics (RMSE/MAE/R²); Uncertainty (problem UQ),Validation reports feasibility or constraint violations on the host problem.,P1,large reported speed-up,16
Engelmann20186188,Engelmann et al.,2018,opf,compact,yes,Distributed Stochastic AC Optimal Power Flow based on Polynomial Chaos Expansion,Optimal Power Flow Distribution,PCE / RSM,LHS / quasi-MC,Uncertain inputs are represented by sparse-grid or PCE collocation nodes (quasi-Monte Carlo / quadrature family).,Uncertainty (problem UQ); Feasibility rate; Point metrics (RMSE/MAE/R²),Validation reports feasibility or constraint violations on the host problem.,P5,,15
Mitrovic2023__2,Mitrovic et al.,2023,opf,compact,yes,Fast Data-Driven Chance Constrained AC-OPF Using Hybrid Sparse Gaussian Processes,Electric Power System Optimization,GP / kriging,Adaptive sampling,,Uncertainty (problem UQ); Feasibility rate; Point metrics (RMSE/MAE/R²),Validation reports feasibility or constraint violations on the host problem.,P1,reported runtime reduction,13
Mitrovic2023__3,Mitrovic et al.,2023,opf,compact,yes,GP CC-OPF: Gaussian Process based optimization tool for Chance-Constrained Optimal Power Flow[Formula presented],Electric Power System Optimization,GP / kriging,Adaptive sampling,,Uncertainty (problem UQ); Point metrics (RMSE/MAE/R²),,P1,,13
Lei20247417,Lei et al.,2024,opf,compact,yes,Surrogate Formulation for Chance-Constrained DC Optimal Power Flow With Affine Control Policy,Electric Power System Optimization,Constraint-aware NN,Adaptive sampling,,Uncertainty (problem UQ); Feasibility rate; Point metrics (RMSE/MAE/R²),Validation reports feasibility or constraint violations on the host problem.,P1,reported runtime reduction,10
Liu20222679,Liu et al.,2022,opf,compact,yes,Kernel Structure Design for Data-Driven Probabilistic Load Flow Studies,Probabilistic and Robust Engineering Design,GP / kriging,Adaptive sampling,,Uncertainty (problem UQ); Point metrics (RMSE/MAE/R²),,P5,,10
Katkar2025,Katkar et al.,2025,opf,compact,yes,Ensemble Surrogate Archive-Assisted Artificial Bee Colony-NSGA-II Metaheuristics for Multi-Modal Optimal Power Flow,Optimal Power Flow Distribution,GP / kriging,Active learning,,Point metrics (RMSE/MAE/R²),,P1,Pareto-front search,1
Park2019,Park et al.,2019,expansion,detail,yes,Physics-induced graph neural network: An application to wind-farm power estimation,Energy Load and Power Forecasting,Neural network,Historical data,,Point metrics (RMSE/MAE/R²); Interval calibration,,P2,,123
Rodgers2018951,Rodgers et al.,2018,expansion,detail,yes,Generation expansion planning considering health and societal damages – A simulation-based optimization approach,Electric Power System Optimization,PCE / RSM,Factorial / DoE,,Feasibility rate; Point metrics (RMSE/MAE/R²),,P2,Pareto-front search,41
Kim2021,Kim et al.,2021,expansion,detail,yes,Probabilistic modeling of wind energy potential for power grid expansion planning,Wind Energy Research and Development,GP / kriging,Adaptive sampling,,Uncertainty (problem UQ); Point metrics (RMSE/MAE/R²),,P5,,36
Pérez-Uresti2023,Pérez-Uresti et al.,2023,expansion,detail,yes,Strategic investment planning for the hydrogen economy – A mixed integer non-linear framework for the development,Hybrid Renewable Energy Systems,Neural network,--,,Point metrics (RMSE/MAE/R²),,P1,,25
Lawson201647,Lawson et al.,2016,expansion,detail,yes,Bayesian framework for power network planning under uncertainty,Electric Power System Optimization,GP / kriging,LHS / quasi-MC,,Uncertainty (problem UQ); Point metrics (RMSE/MAE/R²),,P5,,18
Jahangiri20244849,Jahangiri et al.,2024,expansion,compact,yes,A machine learning approach to analysis of Canadian provincial power system decarbonization,Integrated Energy Systems Optimization,Neural network,--,,Stress test; Point metrics (RMSE/MAE/R²),,P2,,8
Jahangiri2023,Jahangiri et al.,2023,expansion,compact,yes,A Deep Learning Approach for Exploring the Design Space for the Decarbonization of the Canadian Electricity System,Energy Load and Power Forecasting,Neural network,--,,Point metrics (RMSE/MAE/R²),,P2,large reported speed-up,7
Volodina2022,Volodina et al.,2022,expansion,compact,yes,Propagating uncertainty in a network of energy models,Building Energy and Comfort Optimization,GP / kriging,LHS / quasi-MC,Training inputs are placed by Latin hypercube sampling over the planning box.,Uncertainty (problem UQ); Point metrics (RMSE/MAE/R²); Interval calibration,Validation assesses prediction-interval calibration.,P5,,3
Yang2025,Yang et al.,2025,expansion,compact,yes,Adaptive multi-objective Bayesian optimization approach for capacity planning of the interconnected offshore wind farms,Adaptive multi-objective Bayesian optimization approach for capacity planning of the interconnected offshore wind farms,Tree ensembles,Active learning,Further simulation runs are chosen by Bayesian optimization (acquisition-driven active learning).,Point metrics (RMSE/MAE/R²); Uncertainty (problem UQ),,P2,Pareto-front search,0
