cite_key,original_cite_key,identity_type,identity_value,year,title,venue,doi,sources
Farajollahi2024348,Farajollahi2024348,doi,10.1016/j.psep.2024.04.001,2024,Modeling and optimization of hybrid geothermal-solar energy plant using coupled artificial neural network and genetic algorithm,Process Safety and Environmental Protection,10.1016/j.psep.2024.04.001,surrogate_esm_tier_a
Lin2024,Lin2024,doi,10.1016/j.apenergy.2023.122310,2024,Surrogate empowered Sim2Real transfer of deep reinforcement learning for ORC superheat control,Applied Energy,10.1016/j.apenergy.2023.122310,surrogate_esm_tier_a
Liu20241407,Liu20241407,doi,10.1049/rpg2.12980,2024,Optimization of wind-wave hybrid system based on wind-wave coupling model,IET Renewable Power Generation,10.1049/rpg2.12980,surrogate_esm_tier_a
De Castro20247710,De Castro20247710,doi,10.1109/iros58592.2024.10801931,2024,Multi-Fidelity Reinforcement Learning for Minimum Energy Trajectory Planning,IEEE International Conference on Intelligent Robots and Systems,10.1109/iros58592.2024.10801931,surrogate_esm_tier_a
Quick2024,Quick2024,doi,10.1016/j.epsr.2024.110675,2024,Surrogate-based modeling and sensitivity analysis of future European electricity spot market prices,Electric Power Systems Research,10.1016/j.epsr.2024.110675,surrogate_esm_tier_a
Yang2024__2,Yang2024,doi,10.1016/j.energy.2024.134058,2024,Data-driven robust optimization scheduling for microgrid day-ahead to intra-day operations based on renewable energy interval prediction,Energy,10.1016/j.energy.2024.134058,surrogate_esm_tier_a
Stoffel2024,Stoffel2024,doi,10.1016/j.enbuild.2024.113895,2024,Real-life data-driven model predictive control for building energy systems comparing different machine learning models,Energy and Buildings,10.1016/j.enbuild.2024.113895,surrogate_esm_tier_a
Bareth2024601,Bareth2024601,doi,10.5152/electrica.2024.23158,2024,Load Forecasting Model Using LSTM for Indian State Load Dispatch Centre,Electrica,10.5152/electrica.2024.23158,surrogate_esm_tier_a
Prajapati2024268,Prajapati2024268,doi,10.1016/j.ijhydene.2024.05.386,2024,Parametric performance evaluation of SI engine using producer gas-biogas-hydrogen blend as a fuel: A thermodynamic modeling and optimization approach,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2024.05.386,surrogate_esm_tier_a
Raju2024226,Raju2024226,doi,10.1504/ijamechs.2024.143382,2024,Smart grid stability prediction based on Bayesian-optimised LGBM for smarter energy management,International Journal of Advanced Mechatronic Systems,10.1504/ijamechs.2024.143382,surrogate_esm_tier_a
García-Gutiérrez2025535,García-Gutiérrez2025535,doi,10.1007/978-981-96-4710-1_64,2025,Design and Performance of Micro Wind Turbine Airfoils Under Uncertainty,Lecture Notes in Electrical Engineering,10.1007/978-981-96-4710-1_64,surrogate_esm_tier_a
Kumar2024,Kumar2024,doi,10.1016/j.prime.2024.100763,2024,Energy management in a grid-connected microgrid using hybrid Golden Jackal optimization and gradient descent optimization and the concept of loadability,"e-Prime - Advances in Electrical Engineering, Electronics and Energy",10.1016/j.prime.2024.100763,surrogate_esm_tier_a
Staykov202567,Staykov202567,key,staykov202567,2025,SMART CONTROL SYSTEM FOR PHOTOVOLTAIC POWER PLANTS,"23rd International Industrial Simulation Conference, ISC 2025",,surrogate_esm_tier_a
Zhao2025__2,Zhao2025,doi,10.1049/gtd2.70147,2025,Data-Driven Surrogate-Assisted Acceleration Approach for Long-Term Stochastic Chronological Operation Simulation,"IET Generation, Transmission and Distribution",10.1049/gtd2.70147,surrogate_esm_tier_a
Chi2024,Chi2024,doi,10.1016/j.ijepes.2024.109998,2024,Hybrid model-data-driven dynamic VAR planning for wind-penetrated power system using spectral surrogate techniques,International Journal of Electrical Power and Energy Systems,10.1016/j.ijepes.2024.109998,surrogate_esm_tier_a
Rani2025177,Rani2025177,doi,10.1109/icirca65293.2025.11089678,2025,AI-Driven V2G Optimization: A Comparative Analysis of Q-Learning and Evolutionary Strategies,"Proceedings of the 6th International Conference on Inventive Research in Computing Applications, ICIRCA 2025",10.1109/icirca65293.2025.11089678,surrogate_esm_tier_a
Shoaib2025,Shoaib2025,doi,10.1108/mmms-02-2025-0053,2025,Sensitivity analysis of MHD Casson hybrid nanofluid and heat transfer with Joule heating,Multidiscipline Modeling in Materials and Structures,10.1108/mmms-02-2025-0053,surrogate_esm_tier_a
Taghizadeh2024,Taghizadeh2024,doi,10.1016/j.epsr.2024.111014,2024,Multi-fidelity graph neural networks for efficient power flow analysis under high-dimensional demand and renewable generation uncertainty,Electric Power Systems Research,10.1016/j.epsr.2024.111014,surrogate_esm_tier_a
Moradi2024108,Moradi2024108,doi,10.1016/j.comcom.2024.03.009,2024,Learning to optimize power allocation in cell-free massive MIMO networks with hybrid green energy,Computer Communications,10.1016/j.comcom.2024.03.009,surrogate_esm_tier_a
Chen2025697,Chen2025697,doi,10.1109/nesp65198.2025.11041005,2025,Optimized Operation of Hydrogen Pipeline Networks Considering Thermal Safety of Hydrogen Storage Tanks,"2025 4th International Conference on New Energy System and Power Engineering, NESP 2025",10.1109/nesp65198.2025.11041005,surrogate_esm_tier_a
Barbosa2025,Barbosa2025,doi,10.1080/15567249.2025.2504487,2025,Stochastic multi-objective optimization of hybrid distributed power generation with battery storage systems,"Energy Sources, Part B: Economics, Planning and Policy",10.1080/15567249.2025.2504487,surrogate_esm_tier_a
Makubyane20241305,Makubyane20241305,doi,10.18576/jsap/130414,2024,Comparative analysis of the predictive capabilities of some machine learning models: A case study using wind speed data,Journal of Statistics Applications and Probability,10.18576/jsap/130414,surrogate_esm_tier_a
Gu2025882,Gu2025882,doi,10.21595/jve.2025.24851,2025,Vibration and noise performance analysis and optimal design of V-rotor in permanent magnet synchronous motor: a new strategy for high efficiency and low noise,Journal of Vibroengineering,10.21595/jve.2025.24851,surrogate_esm_tier_a
Irshad2024,Irshad2024,doi,10.1016/j.jobe.2024.111308,2024,Performance analysis of air conditioning system integrated with thermal energy storage using enhanced machine learning modelling coupled with fire hawk optimizer,Journal of Building Engineering,10.1016/j.jobe.2024.111308,surrogate_esm_tier_a
Stenglein202480,Stenglein202480,doi,10.1016/j.ifacol.2024.07.463,2024,Robust and Chance-Constrained Dispatch Policies for Linear Power Systems,IFAC-PapersOnLine,10.1016/j.ifacol.2024.07.463,surrogate_esm_tier_a
Chen20244723,Chen20244723,doi,10.1109/tpwrs.2023.3317352,2024,End-to-End Feasible Optimization Proxies for Large-Scale Economic Dispatch,IEEE Transactions on Power Systems,10.1109/tpwrs.2023.3317352,surrogate_esm_tier_a
Shi2024,Shi2024,doi,10.1109/naps61145.2024.10741734,2024,Short-term Load Forecasting Considering EV Charging Loads with Prediction Interval Evaluation,"2024 56th North American Power Symposium, NAPS 2024",10.1109/naps61145.2024.10741734,surrogate_esm_tier_a
Shobug202599939,Shobug202599939,doi,10.1109/access.2025.3576345,2025,Dynamic Control of Isolated Network Microgrids: A Resilient Backpropagation Neural Network-Based Virtual Inertia Control Approach,IEEE Access,10.1109/access.2025.3576345,surrogate_esm_tier_a
Chen2024290,Chen2024290,doi,10.1109/repe62578.2024.10810020,2024,Rapid Quantification of Scheduling Uncertainty in Integrated Energy Systems Under Extreme Scenarios,"International Conference on Renewable Energy and Power Engineering, REPE",10.1109/repe62578.2024.10810020,surrogate_esm_tier_a
Yadav2024,Yadav2024,doi,10.1016/j.segan.2024.101318,2024,Novel applications of various neural network models for prediction of photovoltaic system power under outdoor condition of mountainous region,"Sustainable Energy, Grids and Networks",10.1016/j.segan.2024.101318,surrogate_esm_tier_a
Bedakhanian2024,Bedakhanian2024,doi,10.1016/j.est.2023.110059,2024,"Thermoeconomical, wind assessments and environmental analysis of compressed air energy storage (CAES) integrated with a wind farm by using RSM as a machine learning optimization technique - case study - Denmark",Journal of Energy Storage,10.1016/j.est.2023.110059,surrogate_esm_tier_a
Brahma2025341,Brahma2025341,doi,10.1007/978-981-96-3253-4_25,2025,Performance Exploration of ML Classifiers for Wind Power Forecasting,Lecture Notes in Networks and Systems,10.1007/978-981-96-3253-4_25,surrogate_esm_tier_a
Chaudhry2024,Chaudhry2024,doi,10.1016/j.enbuild.2024.114998,2024,Improving the potential of fifth-generation district heating and cooling networks through robust design and operational optimization under future energy market and demand uncertainties,Energy and Buildings,10.1016/j.enbuild.2024.114998,surrogate_esm_tier_a
Koirala2024,Koirala2024,doi,10.1016/j.segan.2024.101528,2024,Day-ahead dynamic operating envelopes using stochastic unbalanced optimal power flow,"Sustainable Energy, Grids and Networks",10.1016/j.segan.2024.101528,surrogate_esm_tier_a
Saranya2024475,Saranya2024475,doi,10.1007/s00202-023-01991-4,2024,Energy management in hybrid photovoltaic–wind system using optimized neural network,Electrical Engineering,10.1007/s00202-023-01991-4,surrogate_esm_tier_a
Tahir2024,Tahir2024,doi,10.1016/j.enconman.2024.118549,2024,Enhancing PV power forecasting with deep learning and optimizing solar PV project performance with economic viability: A multi-case analysis of 10 MW Masdar project in UAE,Energy Conversion and Management,10.1016/j.enconman.2024.118549,surrogate_esm_tier_a
Selvakumaran20241281,Selvakumaran20241281,doi,10.1002/acs.3748,2024,A hybrid approach for PV based grid tied intelligent controlled water pump system,International Journal of Adaptive Control and Signal Processing,10.1002/acs.3748,surrogate_esm_tier_a
Mou202522956,Mou202522956,doi,10.1109/jsen.2025.3565747,2025,An SAGPSO-CNN Approach for Supervised Fault Classification in MVdc Shipboard Power Systems,IEEE Sensors Journal,10.1109/jsen.2025.3565747,surrogate_esm_tier_a
Roy202510096,Roy202510096,doi,10.1080/15567036.2021.1961945,2025,Smart energy management for optimal economic operation in grid-connected hybrid power system,"Energy Sources, Part A: Recovery, Utilization and Environmental Effects",10.1080/15567036.2021.1961945,surrogate_esm_tier_a
Dayioğlu20241078,Dayioğlu20241078,doi,10.22399/ijcesen.238,2024,Comparison of Different Forecasting Techniques for Microgrid Load Based on Historical Load and Meteorological Data,International Journal of Computational and Experimental Science and Engineering,10.22399/ijcesen.238,surrogate_esm_tier_a
Golabi2025,Golabi2025,doi,10.1109/cec65147.2025.11042992,2025,Learning-Driven Optimization with Integrated Multi-Model Approaches for Efficient Electric Vehicle Charging Scheduling,"2025 IEEE Congress on Evolutionary Computation, CEC 2025",10.1109/cec65147.2025.11042992,surrogate_esm_tier_a
Bian20255497,Bian20255497,doi,10.1109/tte.2024.3484134,2025,An Approximate Three-Phase AC Excitation Method With Parallel Capacitors for Aircraft Wound Rotor Synchronous Starter/Generator,IEEE Transactions on Transportation Electrification,10.1109/tte.2024.3484134,surrogate_esm_tier_a
Liang2024,Liang2024,doi,10.1016/j.est.2024.110756,2024,Thermo-economic multi-objective optimization of the liquid air energy storage system,Journal of Energy Storage,10.1016/j.est.2024.110756,surrogate_esm_tier_a
Schwarz2024,Schwarz2024,doi,10.1186/s42162-024-00360-0,2024,A direct and analytical method for inverse problems under uncertainty in energy system design: combining inverse simulation and Polynomial Chaos theory,Energy Informatics,10.1186/s42162-024-00360-0,surrogate_esm_tier_a
Patty2024,Patty2024,doi,10.1016/j.prime.2024.100567,2024,Regression based stochastic energy management strategy for a grid connected microgrid using Artificial Electric Field Algorithm,"e-Prime - Advances in Electrical Engineering, Electronics and Energy",10.1016/j.prime.2024.100567,surrogate_esm_tier_a
Zhen2024,Zhen2024,doi,10.1016/j.csite.2024.104766,2024,Performance prediction and regression analysis of scroll expander based on response surface methodology,Case Studies in Thermal Engineering,10.1016/j.csite.2024.104766,surrogate_esm_tier_a
Muthubalaji2024399,Muthubalaji2024399,doi,10.26599/bdma.2023.9020022,2024,An Intelligent Big Data Security Framework Based on AEFS-KENN Algorithms for the Detection of Cyber-Attacks from Smart Grid Systems,Big Data Mining and Analytics,10.26599/bdma.2023.9020022,surrogate_esm_tier_a
Jahangiri20244849,Jahangiri20244849,doi,10.1016/j.egyr.2024.04.036,2024,A machine learning approach to analysis of Canadian provincial power system decarbonization,Energy Reports,10.1016/j.egyr.2024.04.036,surrogate_esm_tier_a
Wang2024__2,Wang2024,doi,10.1016/j.compchemeng.2023.108582,2024,A method to bridge energy and process system optimization: Identifying the feasible operating space for a methanation process in power-to-gas energy systems,Computers and Chemical Engineering,10.1016/j.compchemeng.2023.108582,surrogate_esm_tier_a
Yin2024,Yin2024,doi,10.1016/j.est.2024.110745,2024,Energy management and capacity allocation method of hybrid energy storage system based on port transportation-energy coupling characteristics,Journal of Energy Storage,10.1016/j.est.2024.110745,surrogate_esm_tier_a
Xu2025268,Xu2025268,doi,10.1109/pssgt64932.2025.11034310,2025,Reliability Evaluation for Power Systems with High-Proportion Renewable Energy Sources Considering Dispatch Decisions,"2025 IEEE International Conference on Power System and Smart Grid Technologies, PSSGT 2025",10.1109/pssgt64932.2025.11034310,surrogate_esm_tier_a
Kang2025318,Kang2025318,doi,10.1109/eeice65049.2025.11034193,2025,Research on Intelligent Generation and Combination Optimization Methods for Service-Oriented APIs in Power Communication Data Centers,"2025 6th International Conference on Electrical, Electronic Information and Communication Engineering, EEICE 2025",10.1109/eeice65049.2025.11034193,surrogate_esm_tier_a
Yan2024,Yan2024,doi,10.1016/j.energy.2024.132486,2024,Stochastic optimisation of district integrated energy systems based on a hybrid probability forecasting model,Energy,10.1016/j.energy.2024.132486,surrogate_esm_tier_a
Eisavi2024869,Eisavi2024869,doi,10.1016/j.ijhydene.2023.11.025,2024,"Economic assessment and optimization of low-carbon biomass-based power, methane, and methanol production",International Journal of Hydrogen Energy,10.1016/j.ijhydene.2023.11.025,surrogate_esm_tier_a
Liu20251352,Liu20251352,doi,10.1109/temc.2025.3586319,2025,Uncertainty Analysis of Geomagnetically Induced Currents in UHV Power Grid Based on Compressed Sensing Optimization,IEEE Transactions on Electromagnetic Compatibility,10.1109/temc.2025.3586319,surrogate_esm_tier_a
Assareh2024__2,Assareh2024,doi,10.1016/j.renene.2024.120744,2024,"A multi-energy production system utilizing an absorption refrigeration cycle, and a PEM electrolyzer powered by geothermal energy: Thermoeconomic assessment and optimization",Renewable Energy,10.1016/j.renene.2024.120744,surrogate_esm_tier_a
Jena2024,Jena2024,doi,10.1016/j.energy.2023.130068,2024,Power and efficiency improvement of SI engine fueled with boosted producer gas-methane blends and LIVC-miller cycle strategy: Thermodynamic and optimization studies,Energy,10.1016/j.energy.2023.130068,surrogate_esm_tier_a
Abo-Khalil2024440,Abo-Khalil2024440,doi,10.1016/j.psep.2024.06.078,2024,Development of a poly-generation layout centered on the utilization of rice straw triggered by an air-gas turbine cycle; Multi-facet optimization,Process Safety and Environmental Protection,10.1016/j.psep.2024.06.078,surrogate_esm_tier_a
Pan20244422,Pan20244422,doi,10.1109/tpwrs.2023.3317973,2024,Reliability-Constrained Economic Dispatch With Analytical Formulation of Operational Risk Evaluation,IEEE Transactions on Power Systems,10.1109/tpwrs.2023.3317973,surrogate_esm_tier_a
Deng20242564,Deng20242564,doi,10.17775/cseejpes.2023.07130,2024,Two-Stage Multi-Objective Optimization and Decision-Making Method for Integrated Energy System Under Wind Generation Disturbances,CSEE Journal of Power and Energy Systems,10.17775/cseejpes.2023.07130,surrogate_esm_tier_a
Su20253432,Su20253432,doi,10.1109/tsg.2025.3569696,2025,Safe Reinforcement Learning-Based Transient Stability Control for Islanded Microgrids With Topology Reconfiguration,IEEE Transactions on Smart Grid,10.1109/tsg.2025.3569696,surrogate_esm_tier_a
Bradde2024,Bradde2024,doi,10.1109/epeps61853.2024.10754453,2024,Efficient Parametric Assessment of Worst-Case Voltage Droop in Power Delivery Networks,"33rd IEEE Conference on Electrical Performance of Electronic Packaging and Systems, EPEPS 2024",10.1109/epeps61853.2024.10754453,surrogate_esm_tier_a
Han2024,Han2024,doi,10.1016/j.ijepes.2024.110076,2024,Hierarchical robust Day-Ahead VPP and DSO coordination based on local market to enhance distribution network voltage stability,International Journal of Electrical Power and Energy Systems,10.1016/j.ijepes.2024.110076,surrogate_esm_tier_a
Liang2024__2,Liang2024,doi,10.1016/j.ijepes.2024.110033,2024,Expert knowledge data-driven based actor–critic reinforcement learning framework to solve computationally expensive unit commitment problems with uncertain wind energy,International Journal of Electrical Power and Energy Systems,10.1016/j.ijepes.2024.110033,surrogate_esm_tier_a
Chen2025__2,Chen2025,doi,10.1049/rpg2.70133,2025,Pricing of Park Charging Station Integrated Photovoltaic and Energy Storage Based On Metamodel Optimization Algorithm,IET Renewable Power Generation,10.1049/rpg2.70133,surrogate_esm_tier_a
Li2024189,Li2024189,doi,10.1109/sgee64306.2024.10865901,2024,Optimization of Data Processing Methods for Grid Voltage Monitoring,"2024 5th International Conference on Smart Grid and Energy Engineering, SGEE 2024",10.1109/sgee64306.2024.10865901,surrogate_esm_tier_a
Selvam20245269,Selvam20245269,doi,10.1007/s00202-023-02201-x,2024,Adaptive control of a single source reduced switch MLI-based DSTATCOM for wind energy conversion system,Electrical Engineering,10.1007/s00202-023-02201-x,surrogate_esm_tier_a
Mohebbi2024143,Mohebbi2024143,doi,10.22034/aeis.2024.458696.1197,2024,Enhancing Residential Electricity Consumption Forecasting with Meta-Heuristic Algorithms,Advances in Engineering and Intelligence Systems,10.22034/aeis.2024.458696.1197,surrogate_esm_tier_a
Ullah20255970,Ullah20255970,doi,10.1109/jestpe.2025.3575576,2025,Optimized Neuro-Adaptive Third-Order Sliding Mode Control With High-Gain Differentiator for Enhanced Photovoltaic System Performance: Simulation and Experimental Validation,IEEE Journal of Emerging and Selected Topics in Power Electronics,10.1109/jestpe.2025.3575576,surrogate_esm_tier_a
Chen20251656,Chen20251656,doi,10.1109/acpee64358.2025.11041592,2025,Modeling Small-Signal Stability Constraints in Optimal Power Flow Using a Bayesian Optimization Framework,"Proceedings - 2025 10th Asia Conference on Power and Electrical Engineering, ACPEE 2025",10.1109/acpee64358.2025.11041592,surrogate_esm_tier_a
Zhang2024__2,Zhang2024,doi,10.1016/j.enconman.2024.119027,2024,Multi-energy load forecasting for small-sample integrated energy systems based on neural network Gaussian process and multi-task learning,Energy Conversion and Management,10.1016/j.enconman.2024.119027,surrogate_esm_tier_a
Elazab2024,Elazab2024,doi,10.1186/s42162-024-00333-3,2024,Enhancing microgrid energy management through solar power uncertainty mitigation using supervised machine learning,Energy Informatics,10.1186/s42162-024-00333-3,surrogate_esm_tier_a
Benabbes-Taarji2025855,Benabbes-Taarji2025855,doi,10.13182/mc25-47490,2025,Meta-Modeling of the ALGO Code for Optimized Load-Follow Operations in Nuclear Reactor Clusters,"Proceedings of the International Conference on Mathematics and Computational Methods Applied to Nuclear Science and Engineering, M and C 2025",10.13182/mc25-47490,surrogate_esm_tier_a
Zhou2024__2,Zhou2024,doi,10.1016/j.est.2024.113688,2024,Renewable-storage sizing approaches for centralized and distributed renewable energy—A state-of-the-art review,Journal of Energy Storage,10.1016/j.est.2024.113688,surrogate_esm_tier_a
Li2024,Li2024,doi,10.1109/naps61145.2024.10741623,2024,Speeding Ticket: Unveiling the Energy and Emission Burden of AI-Accelerated Distributed and Decentralized Power Dispatch Models,"2024 56th North American Power Symposium, NAPS 2024",10.1109/naps61145.2024.10741623,surrogate_esm_tier_a
Li2024__2,Li2024,doi,10.1109/pesgm51994.2024.10688869,2024,"Toward Rapid, Optimal, and Feasible Power Dispatch through Generalized Neural Mapping",IEEE Power and Energy Society General Meeting,10.1109/pesgm51994.2024.10688869,surrogate_esm_tier_a
Ebbs-Picken2024,Ebbs-Picken2024,doi,10.1016/j.apenergy.2024.123723,2024,Deep encoder–decoder hierarchical convolutional neural networks for conjugate heat transfer surrogate modeling,Applied Energy,10.1016/j.apenergy.2024.123723,surrogate_esm_tier_a
Attar2024,Attar2024,doi,10.1016/j.cej.2024.155486,2024,Statistical analysis and comprehensive optimisation of zero-gap electrolyser: Transitioning catalysts from laboratory to industrial scale,Chemical Engineering Journal,10.1016/j.cej.2024.155486,surrogate_esm_tier_a
Hussaini20242192,Hussaini20242192,doi,10.1109/tte.2023.3271763,2024,Optimal Droop Control Design Using Artificial Intelligent Techniques for Electric Power Systems of More-Electric Aircraft,IEEE Transactions on Transportation Electrification,10.1109/tte.2023.3271763,surrogate_esm_tier_a
Latif202550000,Latif202550000,doi,10.1109/access.2025.3550276,2025,Development of a Novel Real-Time Weighted Surrogate Model for Wind Turbine-Based on DFIG: Enhancing Computational Efficiency in Power Systems With Error Bound,IEEE Access,10.1109/access.2025.3550276,surrogate_esm_tier_a
Assareh2024__3,Assareh2024,doi,10.1016/j.csite.2024.105448,2024,"The performance analysis of a compressed air energy storage (CAES) for peak moving with cooling, heating, and power production",Case Studies in Thermal Engineering,10.1016/j.csite.2024.105448,surrogate_esm_tier_a
Su20255398,Su20255398,doi,10.1109/tpwrs.2025.3577025,2025,Neural Network Certification Informed Power System Transient Stability Preventive Control With Renewable Energy,IEEE Transactions on Power Systems,10.1109/tpwrs.2025.3577025,surrogate_esm_tier_a
Zhang20253358,Zhang20253358,doi,10.1080/15435075.2025.2514491,2025,Optimization of two-tier scheduling for an integrated regional energy system considering waste treatment and electric garbage trucks,International Journal of Green Energy,10.1080/15435075.2025.2514491,surrogate_esm_tier_a
Baek2024310,Baek2024310,doi,10.13182/t131-45897,2024,Robustness of Deep-Reinforcement-Learning Control for Fast Load-Following-Operation of S-CO2 Microreactor,Transactions of the American Nuclear Society,10.13182/t131-45897,surrogate_esm_tier_a
Onokwai2025__2,Onokwai2025,doi,10.1109/saupec65723.2025.10944414,2025,Combination of Organic Rankine Cycle (ORC) with Diesel Engines for Emission Reduction and Enhanced Energy Efficiency: A Review,"Proceedings of the 33rd Southern African Universities Power Engineering Conference, SAUPEC 2025",10.1109/saupec65723.2025.10944414,surrogate_esm_tier_a
Ravikumar20245089,Ravikumar20245089,doi,10.1007/s00202-024-02288-w,2024,Advanced clamped Z-source boost converter and MOGA optimized RBFNN MPPT for seamless PV grid integration,Electrical Engineering,10.1007/s00202-024-02288-w,surrogate_esm_tier_a
Zhang2024__3,Zhang2024,doi,10.1109/pesgm51994.2024.10688788,2024,Power grid operational risk assessment using graph neural network surrogates,IEEE Power and Energy Society General Meeting,10.1109/pesgm51994.2024.10688788,surrogate_esm_tier_a
Buchanan2024,Buchanan2024,doi,10.1016/j.est.2023.109799,2024,Probabilistic lithium-ion battery state-of-health prediction using convolutional neural networks and Gaussian process regression,Journal of Energy Storage,10.1016/j.est.2023.109799,surrogate_esm_tier_a
Chen2024__2,Chen2024,doi,10.1016/j.epsr.2024.110822,2024,Real-time risk analysis with optimization proxies,Electric Power Systems Research,10.1016/j.epsr.2024.110822,surrogate_esm_tier_a
Starke2025214,Starke2025214,doi,10.1080/10407790.2023.2280208,2025,A review on the applicability of machine learning techniques to the metamodeling of energy systems,"Numerical Heat Transfer, Part B: Fundamentals",10.1080/10407790.2023.2280208,surrogate_esm_tier_a
Li20251060,Li20251060,doi,10.17775/cseejpes.2024.05670,2025,Learning to Optimize Joint Chance-constrained Power Dispatch Problems,CSEE Journal of Power and Energy Systems,10.17775/cseejpes.2024.05670,surrogate_esm_tier_a
Wei2025219,Wei2025219,doi,10.1109/acpee64358.2025.11041056,2025,Efficient Control Parameters Optimization for Grid-Connected Converter via Data-Driven Surrogate Model,"Proceedings - 2025 10th Asia Conference on Power and Electrical Engineering, ACPEE 2025",10.1109/acpee64358.2025.11041056,surrogate_esm_tier_a
Rahini20251017,Rahini20251017,doi,10.1109/icaiss61471.2025.11041808,2025,Intelligent Grid-Connected EV System with Solar PV and Battery for Energy Optimization,"Proceedings of 3rd International Conference on Augmented Intelligence and Sustainable Systems, ICAISS 2025",10.1109/icaiss61471.2025.11041808,surrogate_esm_tier_a
Behera2025,Behera2025,doi,10.1109/ias62731.2025.11061379,2025,Artificial Neural Network based Fractional Order Controller Design for Disturbance Rejection of a Low Voltage DC Microgrid,Conference Record - IAS Annual Meeting (IEEE Industry Applications Society),10.1109/ias62731.2025.11061379,surrogate_esm_tier_a
Khalid20241959,Khalid20241959,doi,10.1016/j.egyr.2024.01.047,2024,A novel computational paradigm for scheduling of hybrid energy networks considering renewable uncertainty limitations,Energy Reports,10.1016/j.egyr.2024.01.047,surrogate_esm_tier_a
Su20252037,Su20252037,doi,10.1109/tpwrs.2024.3502114,2025,"Analytic Neural Network Gaussian Process Enabled Chance-Constrained Voltage Regulation for Active Distribution Systems with PVs, Batteries and EVs",IEEE Transactions on Power Systems,10.1109/tpwrs.2024.3502114,surrogate_esm_tier_a
Gunawan Gan2024,Gunawan Gan2024,doi,10.1016/j.solener.2024.112966,2024,AI-aided optimisation and technoeconomic analysis of peaker particle-based concentrated solar power,Solar Energy,10.1016/j.solener.2024.112966,surrogate_esm_tier_a
Akyürek202519,Akyürek202519,doi,10.1615/jenhheattransf.2025057116,2025,EVALUATION OF PHOTOVOLTAIC MODULE EFFICIENCY BASED ON VARIOUS REFLECTIVE SURFACES AND ANGLE POSITIONS USING RESPONSE SURFACE METHODOLOGY,Journal of Enhanced Heat Transfer,10.1615/jenhheattransf.2025057116,surrogate_esm_tier_a
Ebrahimi2024,Ebrahimi2024,doi,10.1016/j.engappai.2023.107637,2024,Towards an interpretable data-driven switch placement model in electric power distribution systems: An explainable artificial intelligence-based approach,Engineering Applications of Artificial Intelligence,10.1016/j.engappai.2023.107637,surrogate_esm_tier_a
Zhang20241137,Zhang20241137,doi,10.1109/iciscae62304.2024.10761566,2024,Research on Multi-Physics Coupling and Data System Architecture in Meta-Universe Power Grid Holographic Simulation,"2024 IEEE 7th International Conference on Information Systems and Computer Aided Education, ICISCAE 2024",10.1109/iciscae62304.2024.10761566,surrogate_esm_tier_a
Hamid2024,Hamid2024,doi,10.1016/j.energy.2023.129912,2024,An optimization study of passive flow control mechanism for a seashell-shaped wind turbine,Energy,10.1016/j.energy.2023.129912,surrogate_esm_tier_a
Purbandono202542,Purbandono202542,doi,10.15587/1729-4061.2025.327179,2025,OPTIMIZATION OF LOAD DISTRIBUTION AND FUEL CONSUMPTION FOR DIESEL GENERATOR 1000 KW FOR REMOTE AREA USING BIODIESEL B35 POWER STATION,Eastern-European Journal of Enterprise Technologies,10.15587/1729-4061.2025.327179,surrogate_esm_tier_a
Rawal2024179,Rawal2024179,doi,10.1016/j.ifacol.2024.05.027,2024,Stochastic Economic Dispatch with Advanced Polynomial Chaos Expansion,IFAC-PapersOnLine,10.1016/j.ifacol.2024.05.027,surrogate_esm_tier_a
Powroźnik2024,Powroźnik2024,doi,10.3390/en17235866,2024,Predictive Analytics for Energy Efficiency: Leveraging Machine Learning to Optimize Household Energy Consumption,Energies,10.3390/en17235866,surrogate_esm_tier_a
Ren2024,Ren2024,doi,10.1016/j.apenergy.2023.122312,2024,Data-driven surrogate optimization for deploying heterogeneous multi-energy storage to improve demand response performance at building cluster level,Applied Energy,10.1016/j.apenergy.2023.122312,surrogate_esm_tier_a
Evangeline20248017,Evangeline20248017,doi,10.1007/s00202-024-02497-3,2024,Minimizing voltage fluctuation in stand-alone microgrid system using a Kriging-based multi-objective stochastic optimization algorithm,Electrical Engineering,10.1007/s00202-024-02497-3,surrogate_esm_tier_a
Abitha2024373,Abitha2024373,doi,10.1109/icosec61587.2024.10722324,2024,Intelligent Techniques based Power Transformer Health Monitoring Index using Dissolved Gas Analyser,"Proceedings of the 5th International Conference on Smart Electronics and Communication, ICOSEC 2024",10.1109/icosec61587.2024.10722324,surrogate_esm_tier_a
Wenzel2025332,Wenzel2025332,doi,10.1109/ojcsys.2025.3601836,2025,Gaussian Process Supported Stochastic MPC for Distribution Grids,IEEE Open Journal of Control Systems,10.1109/ojcsys.2025.3601836,surrogate_esm_tier_a
Mitrovic2023,Mitrovic2023,doi,10.1016/j.ijepes.2023.109249,2023,Data-driven stochastic AC-OPF using Gaussian process regression,International Journal of Electrical Power and Energy Systems,10.1016/j.ijepes.2023.109249,surrogate_esm_tier_a
Jalving2023,Jalving2023,doi,10.1016/j.apenergy.2023.121767,2023,Beyond price taker: Conceptual design and optimization of integrated energy systems using machine learning market surrogates,Applied Energy,10.1016/j.apenergy.2023.121767,surrogate_esm_tier_a
